Name,Count
'umr at-tawill,0
abhoth,0
apocolothoth,0
atlach-natcha,0
azathoth,40
basatan,0
bokrug,15
byakhee,0
byatis,0
cat from saturn,0
cat of sadoqua,0
chaugnar faugn,2
chthonian,0
colour out of space,4
cthugha,0
cthulhu,98
cxaxukluth,0
d'endrrah,0
dagon,30
dark young of shub-niggurath,0
darkness,350
deep one,3
dhole,0
dimensional shambler,1
e-poh,0
elder thing,8
fire vampire,0
flying polyp,0
formless spawn of tsathoggua,0
fthaggua,0
ghast,128
ghatanothoa,68
ghizguth,0
ghoul,200
gloon,0
gnoph-keh,2
gobogeg,0
god of the red flux,0
gol-goroth,0
gray weaver,0
great race of yith,0
gug,40
han,6200
hastur,4
high priest not to be described,0
hound of tindalos,0
hunting horror,0
hypnos,5
hziulquoigmnzhah,0
iod,296
ithaqua,0
juk-shabb,0
k'thuggoul,0
krang,0
lloigor,0
lloigors,0
magnum innominandum,2
mi-go,7
moon-beast,26
mordiggian,0
mormo,6
mother hydra,2
n'gha-kthun,0
naggoob,0
night-gaunt,70
nodens,8
nug,16
nyaghoggua,0
nyarlathotep,94
nyogtha,0
oorn,20
quachil uttaus,0
quumyagga,0
rat-thing,0
rhan-tegoth,18
rlim shaikorth,0
sand-dweller,0
sebek,0
serpent person,0
servitor of the outer gods,0
sfatlicllp,0
shantak,43
shathak,0
shaurash-ho,0
shista,0
sho-gath,0
shoggoth,22
shub-niggurath,40
shudde m'ell,0
spider of leng,0
star spawn of cthulhu,0
star vampire,0
sthanee,0
ta-vho-shai,0
tch'tkaa,0
tcho-tcho,2
thasaidon,0
thog,40
tree-man of M'bwa,0
tru'nembra,0
tsathoggua,40
tulzscha,0
ubb,274
ubbo-sathla,0
voorm,0
voormi,0
vulthoom,0
xexanoth,0
y'golonac,0
yaddithian,0
yeb,28
yegg-ha,0
yhoundeh,0
yibb-tstll,0
yig,51
yog-sothoth,62
ythogtha,0
zhar,0
zoogs,64
Zstylzhemghi,0
zushakon ,0
zvilpogghua ,0
atlach-nacha,0
zstylzhemghi,0
zushakon,0
zvilpogghua,0
tsunth,0
noth-yidik,1
byakhees,0
cats from saturn,1
cats of sadoqua,0
chthonians,0
dark youngs of shub-niggurath,0
deep ones,2
dholes,0
dimensional shamblers,0
elder things,8
fire vampires,0
flying polyps,0
fthagguas,0
ghasts,19
ghouls,115
gloons,0
gray weavers,0
gugs,30
hounds of tindalos,1
hunting horrors,0
mi-gos,0
moon-beasts,24
night-gaunts,66
rat-things,0
sand-dwellers,0
serpent people,0
servitors of the outer gods,0
shantaks,13
shoggoths,18
spiders of leng,0
star spawns of cthulhu,0
tcho-tchos,2
voormis,0
yaddithians,0
