Title,Text
An American to Mother EnglandBy H. P. Lovecraft by By H. P. Lovecraft,"England! My England! Can the surging seaThat lies between us tear my heart from thee?Can distant birth and distant dwelling drainTh’ ancestral blood that warms the loyal vein?Isle of my Fathers! hear the filial songOf him whose sources but to thee belong!World-conquering Mother! by thy mighty handWas carv’d from savage wilds my native land:Thy matchless sons the firm foundation laid;Thy matchless arts the nascent nation made:By thy just laws the young republic grew,And thro’ thy greatness, kindred greatness knew:What man that springs from thy untainted lineBut sees Columbia’s virtues all as thine?Whilst nameless multitudes upon our shoreFrom the dim corners of creation pour,Whilst mongrel slaves crawl hither to partakeOf Saxon liberty they could not make,From such an alien crew in grief I turn,And for the mother’s voice of Britain burn.England! Can aught remove the cherish’d chainThat binds my spirit to thy blest domain?Can Revolution’s bitter precepts swayThe soul that must the ties of race obey?Create a new Columbia if ye will;The flesh that forms me is Britannic still!Hail! oaken shades, and meads of dewy green,So oft in sleep, yet ne’er in waking seen.Peal out, ye ancient chimes, from vine-clad tow’rWhere pray’d my fathers in a vanish’d hour:What countless years of rev’rence can ye claimFrom bygone worshippers that bore my name!Their forms are crumbling in the vaults around,Whilst I, across the sea, but dream the sound.Return, Sweet Vision! Let me glimpse againThe stone-built abbey, rising o’er the plain;The neighb’ring village with its sun-show’r’d square;The shaded mill-stream, and the forest fair,The hedge-lin’d lane, that leads to rustic cotWhere sweet contentment is the peasant’s lot;The mystic grove, by Druid wraiths possess’d,The flow’ring fields, with fairy-castles blest:And the old manor-house, sedate and dark,Set in the shadows of the wooded park.Can this be dreaming? Must my eyelids closeThat I may catch the fragrance of the rose?Is it in fancy that the midnight valeThrills with the warblings of the nightingale?A golden moon bewitching radiance yields,And England’s fairies trip o’er England’s fields.England! Old England! in my love for theeNo dream is mine, but blessed memory;Such haunting images and hidden firesCourse with the bounding blood of British sires:From British bodies, minds, and souls I come,And from them draw the vision of their home.Awake, Columbia! scorn the vulgar ageThat bids thee slight thy lordly heritage.Let not the wide Atlantic’s wildest waveBurst the blest bonds that fav’ring Nature gave:Connecting surges ’twixt the nations run,Our Saxon souls dissolving into one!"
The Ancient TrackBy H. P. Lovecraft by By H. P. Lovecraft,"There was no hand to hold me backThat night I found the ancient trackOver the hill, and strained to seeThe fields that teased my memory.This tree, that wall—I knew them well,And all the roofs and orchards fellFamiliarly upon my mindAs from a past not far behind.I knew what shadows would be castWhen the late moon came up at lastFrom back of Zaman’s Hill, and howThe vale would shine three hours from now.And when the path grew steep and high,And seemed to end against the sky,I had no fear of what might restBeyond that silhouetted crest.Straight on I walked, while all the nightGrew pale with phosphorescent light,And wall and farmhouse gable glowedUnearthly by the climbing road.There was the milestone that I knew—“Two miles to Dunwich”—now the viewOf distant spire and roofs would dawnWith ten more upward paces gone. . . .There was no hand to hold me backThat night I found the ancient track,And reached the crest to see outspreadA valley of the lost and dead:And over Zaman’s Hill the hornOf a malignant moon was born,To light the weeds and vines that grewOn ruined walls I never knew.The fox-fire glowed in field and bog,And unknown waters spewed a fogWhose curling talons mocked the thoughtThat I had ever known this spot.Too well I saw from the mad sceneThat my loved past had never been—Nor was I now upon the trailDescending to that long-dead vale.Around was fog—ahead, the sprayOf star-streams in the Milky Way. . . .There was no hand to hold me backThat night I found the ancient track."
ArcadiaBy H. P. Lovecraft by By H. P. Lovecraft,"By Head BalledupO give me the life of the village,Uninhibited, free, and sweet;The place where the arts all flourish,Grove Court and Christopher Street.I am sick of the old conventions,And critics who will not praise,So sing ho for the open spaces,And aesthetes with kindly ways.Here every bard is a genius,And artists are Raphaels,And above the roofs of Patchin PlaceThe Muse of Talent dwells."
AstrophobosBy H. P. Lovecraft by By H. P. Lovecraft,"In the midnight heavens burningThro’ ethereal deeps afar,Once I watch’d with restless yearningAn alluring, aureate star;Ev’ry eye aloft returning,Gleaming nigh the Arctic car.Mystic waves of beauty blendedWith the gorgeous golden rays;Phantasies of bliss descendedIn a myrrh’d Elysian haze;And in lyre-born chords extendedHarmonies of Lydian lays.There (thought I) lies scenes of pleasure,Where the free and blessed dwell,And each moment bears a treasureFreighted with a lotus-spell,And there floats a liquid measureFrom the lute of Israfel.There (I told myself) were shiningWorlds of happiness unknown,Peace and Innocence entwiningBy the Crowned Virtue’s throne;Men of light, their thoughts refiningPurer, fairer, than our own.Thus I mus’d, when o’er the visionCrept a red delirious change;Hope dissolving to derision,Beauty to distortion strange;Hymnic chords in weird collision,Spectral sights in endless range.Crimson burn’d the star of sadnessAs behind the beams I peer’d;All was woe that seem’d but gladnessEre my gaze with truth was sear’d;Cacodaemons, mir’d with madness,Thro’ the fever’d flick’ring leer’d.Now I know the fiendish fableThat the golden glitter bore;Now I shun the spangled sableThat I watch’d and lov’d before;But the horror, set and stable,Haunts my soul for evermore."
The CatsBy H. P. Lovecraft by By H. P. Lovecraft,"Babels of blocks to the high heavens tow’ring,Flames of futility swirling below;Poisonous fungi in brick and stone flow’ring,Lanterns that shudder and death-lights that glow.Black monstrous bridges across oily rivers,Cobwebs of cable by nameless things spun;Catacomb deeps whose dank chaos deliversStreams of live foetor, that rots in the sun.Colour and splendour, disease and decaying,Shrieking and ringing and scrambling insane,Rabbles exotic to stranger-gods praying,Jumbles of odour that stifle the brain.Legions of cats from the alleys nocturnal,Howling and lean in the glare of the moon,Screaming the future with mouthings infernal,Yelling the burden of Pluto’s red rune.Tall tow’rs and pyramids ivy’d and crumbling,Bats that swoop low in the weed-cumber’d streets;Bleak broken bridges o’er rivers whose rumblingJoins with no voice as the thick tide retreats.Belfries that blackly against the moon totter,Caverns whose mouths are by mosses effac’d,And living to answer the wind and the water,Only the lean cats that howl in the waste!"
ChristmasBy H. P. Lovecraft by By H. P. Lovecraft,"The cottage hearth beams warm and bright,The candles gaily glow;The stars emit a kinder lightAbove the drifted snow.Down from the sky a magic stealsTo glad the passing year,And belfries sing with joyous peals,For Christmastide is here!"
[Christmas Greetingsto Annie E. P. Gamwell]By H. P. Lovecraft by By H. P. Lovecraft,"As when a pigeon, loos’d in realms remote,Takes instant wing, and seeks his native cote,So speed my blessings from a barb’rous climeTo thee and Providence at Christmas time!"
[Christmas Greetingsto Eugene B. Kuntz et al.]By H. P. Lovecraft by By H. P. Lovecraft,"May good St. Nick, like as a bird of night,Bring thee rich blessings in his annual flight;Long by thy chimney rest his pond’rous pack,And leave with lessen’d weight upon his back!"
[Christmas Greetings to Felis(Frank Belknap Long’s cat)]By H. P. Lovecraft by By H. P. Lovecraft,"Little Tiger, burning brightWith a subtle Blakeish light,Tell what visions have their homeIn those eyes of flame and chrome!Children vex thee—thoughtless, gay—Holding when thou wouldst away:What dark lore is that which thou,Spitting, mixest with thy meow?"
[Christmas Greetings to Felis(Frank Belknap Long’s cat)]By H. P. Lovecraft by By H. P. Lovecraft,"Haughty Sphinx, whose amber eyesHold the secrets of the skies,As thou ripplest in thy grace,Round the chairs and chimney-place,Scorn on thy patrician face:Hiss not harsh, nor use thy clawsOn the hand that gives applause—Good-will only doth abideIn these lines at Christmastide!"
