Token,Frequency
high,326
crowning,11
grassy,16
summit,35
swelling,7
mound,103
whose,740
sides,79
wooded,26
near,394
base,67
gnarled,15
trees,165
primeval,8
forest,65
stands,22
old,1444
chateau,5
ancestors,32
centuries,74
lofty,42
battlements,4
frowned,1
upon,801
wild,178
rugged,7
countryside,34
serving,10
home,242
stronghold,5
proud,17
house,642
honoured,4
line,162
older,109
even,1081
moss,31
grown,81
castle,62
walls,282
ancient,451
turrets,12
stained,28
storms,10
generations,34
crumbling,83
slow,64
yet,637
mighty,75
pressure,29
time,1231
formed,144
ages,80
feudalism,1
one,2147
dreaded,66
formidable,12
fortresses,2
france,12
machicolated,1
parapets,3
mounted,28
barons,2
counts,2
kings,9
defied,9
never,737
spacious,15
halls,14
resounded,7
footsteps,29
invader,2
since,533
glorious,15
years,504
changed,78
poverty,11
little,554
level,95
dire,8
want,73
together,101
pride,20
name,210
forbids,1
alleviation,1
pursuits,11
commercial,9
life,537
prevented,22
scions,4
maintaining,8
estates,5
pristine,3
splendour,16
falling,52
stones,106
overgrown,12
vegetation,54
parks,7
dry,59
dusty,30
moat,4
ill,72
paved,18
courtyards,4
toppling,5
towers,90
without,471
well,610
sagging,12
floors,21
worm,34
eaten,30
wainscots,2
faded,38
tapestries,2
within,270
tell,383
gloomy,13
tale,94
fallen,83
grandeur,10
passed,167
first,699
another,409
four,174
great,1110
left,539
ruin,39
last,664
single,109
tower,95
housed,6
sadly,13
reduced,17
descendants,11
lords,6
estate,29
vast,281
chambers,34
remaining,41
antoine,2
unhappy,6
accursed,100
comtes,2
de,129
c,42
saw,995
light,522
day,527
ninety,6
long,832
ago,189
amongst,51
dark,508
shadowy,54
forests,14
ravines,11
grottoes,8
hillside,38
spent,66
troubled,32
parents,46
knew,664
father,180
killed,64
age,202
thirty,61
two,625
month,43
born,107
fall,73
stone,445
somehow,89
dislodged,7
deserted,113
mother,99
died,140
birth,29
care,113
education,14
devolved,1
solely,7
servitor,3
trusted,10
man,1084
considerable,66
intelligence,32
remember,105
pierre,7
child,87
lack,46
companionship,10
fact,122
entailed,2
augmented,7
strange,723
exercised,4
aged,59
guardian,17
excluding,2
society,33
peasant,10
children,69
abodes,4
scattered,79
plains,31
surround,3
hill,278
said,554
restriction,1
imposed,7
noble,12
placed,70
association,12
plebeian,2
company,53
know,643
real,154
object,163
keep,225
ears,95
idle,19
tales,165
dread,88
curse,59
nightly,8
told,554
magnified,10
simple,69
tenantry,1
conversed,4
hushed,26
accents,22
glow,79
cottage,42
hearths,5
thus,88
isolated,29
thrown,36
resources,8
hours,199
childhood,24
poring,7
tomes,7
filled,109
shadow,112
haunted,91
library,128
roaming,2
aim,7
purpose,72
perpetual,11
dusk,46
spectral,76
wood,96
clothes,40
side,280
foot,103
perhaps,345
effect,99
surroundings,19
mind,364
early,171
acquired,24
shade,21
melancholy,11
studies,60
partake,1
occult,29
nature,222
strongly,20
claimed,25
attention,103
race,166
permitted,25
learn,48
singularly,28
small,382
knowledge,146
able,161
gain,29
seemed,1174
depress,1
much,700
manifest,21
reluctance,17
preceptor,1
discuss,17
paternal,4
ancestry,13
gave,293
rise,68
terror,165
ever,535
felt,519
mention,51
grew,219
piece,51
disconnected,7
fragments,92
discourse,28
let,262
slip,16
unwilling,12
tongue,40
begun,99
falter,5
approaching,43
senility,2
sort,242
relation,23
certain,630
circumstance,41
always,357
deemed,17
became,286
dimly,45
terrible,368
allude,1
met,107
end,343
whilst,139
hitherto,45
considered,23
natural,97
attribute,13
family,175
short,118
lived,119
men,670
afterward,116
pondered,10
premature,6
deaths,22
began,481
connect,22
wanderings,15
often,190
spoke,179
lives,30
holders,1
title,15
exceeding,5
span,7
twenty,77
birthday,4
document,15
many,650
handed,36
son,144
continued,117
possessor,4
contents,38
startling,24
perusal,6
confirmed,11
gravest,4
apprehensions,12
belief,48
supernatural,9
firm,41
deep,230
seated,21
else,128
dismissed,17
scorn,5
incredible,87
narrative,20
unfolded,11
eyes,511
paper,93
carried,88
back,673
days,268
thirteenth,2
century,107
sat,96
feared,101
impregnable,2
fortress,11
dwelt,88
person,99
accomplishments,5
though,1045
rank,18
michel,10
usually,37
designated,5
surname,1
mauvais,5
evil,221
account,100
sinister,165
reputation,19
studied,75
beyond,591
custom,23
kind,308
seeking,58
things,996
philosopher,7
elixir,6
eternal,46
reputed,14
wise,50
secrets,114
black,605
magic,71
alchemy,6
named,54
charles,184
youth,177
proficient,2
hidden,144
arts,21
therefore,27
called,202
le,14
sorcier,10
wizard,36
pair,56
shunned,63
honest,10
folk,99
suspected,57
hideous,319
practices,9
burnt,19
wife,116
alive,129
sacrifice,24
devil,98
unaccountable,20
disappearances,14
laid,73
door,539
natures,4
ran,94
redeeming,2
ray,13
humanity,32
loved,30
offspring,3
fierce,7
intensity,17
parent,10
filial,2
affection,18
night,857
wildest,33
confusion,25
vanishment,5
young,292
godfrey,6
henri,2
comte,12
searching,32
party,145
headed,59
frantic,96
invaded,10
sorcerers,1
came,881
busy,35
huge,100
violently,40
boiling,1
cauldron,3
cause,72
ungoverned,1
madness,138
fury,37
despair,32
hands,211
ere,9
released,22
murderous,14
hold,107
victim,61
