Name,Count,Updated_Count
'umr at-tawill,0,0
abhoth,0,0
apocolothoth,0,0
atlach-natcha,0,0
azathoth,40,17
basatan,0,0
bokrug,15,5
byakhee,0,0
byatis,0,0
cat from saturn,0,0
cat of sadoqua,0,0
chaugnar faugn,2,0
chthonian,0,0
colour out of space,4,0
cthugha,0,0
cthulhu,98,39
cxaxukluth,0,0
d'endrrah,0,0
dagon,30,13
dark young of shub-niggurath,0,0
darkness,350,162
deep one,3,0
dhole,0,0
dimensional shambler,1,0
e-poh,0,0
elder thing,8,0
fire vampire,0,0
flying polyp,0,0
formless spawn of tsathoggua,0,0
fthaggua,0,0
ghast,128,2
ghatanothoa,68,27
ghizguth,0,0
ghoul,200,31
gloon,0,0
gnoph-keh,2,0
gobogeg,0,0
god of the red flux,0,0
gol-goroth,0,0
gray weaver,0,0
great race of yith,0,0
gug,40,9
han,6200,0
hastur,4,2
high priest not to be described,0,0
hound of tindalos,0,0
hunting horror,0,0
hypnos,5,1
hziulquoigmnzhah,0,0
iod,296,0
ithaqua,0,0
juk-shabb,0,0
k'thuggoul,0,0
krang,0,0
lloigor,0,0
lloigors,0,0
magnum innominandum,2,0
mi-go,7,0
moon-beast,26,0
mordiggian,0,0
mormo,6,3
mother hydra,2,0
n'gha-kthun,0,0
naggoob,0,0
night-gaunt,70,0
nodens,8,7
nug,16,4
nyaghoggua,0,0
nyarlathotep,94,40
nyogtha,0,0
oorn,20,8
quachil uttaus,0,0
quumyagga,0,0
rat-thing,0,0
rhan-tegoth,18,0
rlim shaikorth,0,0
sand-dweller,0,0
sebek,0,0
serpent person,0,0
servitor of the outer gods,0,0
sfatlicllp,0,0
shantak,43,20
shathak,0,0
shaurash-ho,0,0
shista,0,0
sho-gath,0,0
shoggoth,22,0
shub-niggurath,40,0
shudde m'ell,0,0
spider of leng,0,0
star spawn of cthulhu,0,0
star vampire,0,0
sthanee,0,0
ta-vho-shai,0,0
tch'tkaa,0,0
tcho-tcho,2,0
thasaidon,0,0
thog,40,0
tree-man of M'bwa,0,0
tru'nembra,0,0
tsathoggua,40,19
tulzscha,0,0
ubb,274,0
ubbo-sathla,0,0
voorm,0,0
voormi,0,0
vulthoom,0,0
xexanoth,0,0
y'golonac,0,0
yaddithian,0,0
yeb,28,3
yegg-ha,0,0
yhoundeh,0,0
yibb-tstll,0,0
yig,51,42
yog-sothoth,62,0
ythogtha,0,0
zhar,0,0
zoogs,64,32
Zstylzhemghi,0,0
zushakon ,0,0
zvilpogghua ,0,0
atlach-nacha,0,0
zstylzhemghi,0,0
zushakon,0,0
zvilpogghua,0,0
tsunth,0,0
noth-yidik,1,0
byakhees,0,0
cats from saturn,1,0
cats of sadoqua,0,0
chthonians,0,0
dark youngs of shub-niggurath,0,0
deep ones,2,0
dholes,0,0
dimensional shamblers,0,0
elder things,8,0
fire vampires,0,0
flying polyps,0,0
fthagguas,0,0
ghasts,19,19
ghouls,115,113
gloons,0,0
gray weavers,0,0
gugs,30,28
hounds of tindalos,1,0
hunting horrors,0,0
mi-gos,0,0
moon-beasts,24,0
night-gaunts,66,0
rat-things,0,0
sand-dwellers,0,0
serpent people,0,0
servitors of the outer gods,0,0
shantaks,13,13
shoggoths,18,14
spiders of leng,0,0
star spawns of cthulhu,0,0
tcho-tchos,2,0
voormis,0,0
yaddithians,0,0
